year,city,country,avg_temp
1923,Ho Chi Minh City,Vietnam,26.98
1924,Ho Chi Minh City,Vietnam,27.12
1925,Ho Chi Minh City,Vietnam,26.87
1926,Ho Chi Minh City,Vietnam,27.40
1927,Ho Chi Minh City,Vietnam,27.14
1928,Ho Chi Minh City,Vietnam,26.82
1929,Ho Chi Minh City,Vietnam,26.80
1930,Ho Chi Minh City,Vietnam,27.29
1931,Ho Chi Minh City,Vietnam,27.54
1932,Ho Chi Minh City,Vietnam,26.98
1933,Ho Chi Minh City,Vietnam,27.20
1934,Ho Chi Minh City,Vietnam,26.91
1935,Ho Chi Minh City,Vietnam,27.43
1936,Ho Chi Minh City,Vietnam,27.51
1937,Ho Chi Minh City,Vietnam,27.56
1938,Ho Chi Minh City,Vietnam,27.36
1939,Ho Chi Minh City,Vietnam,27.23
1940,Ho Chi Minh City,Vietnam,27.40
1941,Ho Chi Minh City,Vietnam,28.04
1942,Ho Chi Minh City,Vietnam,27.34
1943,Ho Chi Minh City,Vietnam,26.87
1944,Ho Chi Minh City,Vietnam,27.16
1945,Ho Chi Minh City,Vietnam,27.23
1946,Ho Chi Minh City,Vietnam,27.81
1947,Ho Chi Minh City,Vietnam,27.59
1948,Ho Chi Minh City,Vietnam,27.35
1949,Ho Chi Minh City,Vietnam,27.51
1950,Ho Chi Minh City,Vietnam,27.37
1951,Ho Chi Minh City,Vietnam,27.34
1952,Ho Chi Minh City,Vietnam,27.48
1953,Ho Chi Minh City,Vietnam,27.59
1954,Ho Chi Minh City,Vietnam,27.38
1955,Ho Chi Minh City,Vietnam,27.24
1956,Ho Chi Minh City,Vietnam,27.16
1957,Ho Chi Minh City,Vietnam,27.50
1958,Ho Chi Minh City,Vietnam,27.72
1959,Ho Chi Minh City,Vietnam,27.73
1960,Ho Chi Minh City,Vietnam,27.69
1961,Ho Chi Minh City,Vietnam,27.57
1962,Ho Chi Minh City,Vietnam,27.39
1963,Ho Chi Minh City,Vietnam,27.22
1964,Ho Chi Minh City,Vietnam,27.48
1965,Ho Chi Minh City,Vietnam,27.37
1966,Ho Chi Minh City,Vietnam,27.89
1967,Ho Chi Minh City,Vietnam,27.34
1968,Ho Chi Minh City,Vietnam,27.41
1969,Ho Chi Minh City,Vietnam,27.82
1970,Ho Chi Minh City,Vietnam,27.37
1971,Ho Chi Minh City,Vietnam,27.07
1972,Ho Chi Minh City,Vietnam,27.59
1973,Ho Chi Minh City,Vietnam,27.77
1974,Ho Chi Minh City,Vietnam,27.42
1975,Ho Chi Minh City,Vietnam,27.44
1976,Ho Chi Minh City,Vietnam,27.27
1977,Ho Chi Minh City,Vietnam,27.41
1978,Ho Chi Minh City,Vietnam,27.46
1979,Ho Chi Minh City,Vietnam,27.59
1980,Ho Chi Minh City,Vietnam,27.54
1981,Ho Chi Minh City,Vietnam,27.71
1982,Ho Chi Minh City,Vietnam,27.55
1983,Ho Chi Minh City,Vietnam,27.77
1984,Ho Chi Minh City,Vietnam,27.43
1985,Ho Chi Minh City,Vietnam,27.64
1986,Ho Chi Minh City,Vietnam,27.47
1987,Ho Chi Minh City,Vietnam,28.02
1988,Ho Chi Minh City,Vietnam,27.79
1989,Ho Chi Minh City,Vietnam,27.52
1990,Ho Chi Minh City,Vietnam,27.88
1991,Ho Chi Minh City,Vietnam,27.71
1992,Ho Chi Minh City,Vietnam,27.64
1993,Ho Chi Minh City,Vietnam,27.50
1994,Ho Chi Minh City,Vietnam,27.60
1995,Ho Chi Minh City,Vietnam,27.65
1996,Ho Chi Minh City,Vietnam,27.43
1997,Ho Chi Minh City,Vietnam,27.80
1998,Ho Chi Minh City,Vietnam,28.39
1999,Ho Chi Minh City,Vietnam,27.45
2000,Ho Chi Minh City,Vietnam,27.59
2001,Ho Chi Minh City,Vietnam,27.83
2002,Ho Chi Minh City,Vietnam,28.06
2003,Ho Chi Minh City,Vietnam,27.83
2004,Ho Chi Minh City,Vietnam,27.69
2005,Ho Chi Minh City,Vietnam,27.88
2006,Ho Chi Minh City,Vietnam,28.04
2007,Ho Chi Minh City,Vietnam,27.87
2008,Ho Chi Minh City,Vietnam,27.61
2009,Ho Chi Minh City,Vietnam,27.85
2010,Ho Chi Minh City,Vietnam,28.28
2011,Ho Chi Minh City,Vietnam,27.68
2012,Ho Chi Minh City,Vietnam,28.25
2013,Ho Chi Minh City,Vietnam,28.46
